date,sku_code,product_name,category,quantity_sold
2024-01-01,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,35
2024-01-02,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,23
2024-01-03,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,6
2024-01-04,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,29
2024-01-05,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,26
2024-01-06,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,12
2024-01-07,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,10
2024-01-08,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,20
2024-01-09,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,18
2024-01-10,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,41
2024-01-11,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,19
2024-01-12,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,51
2024-01-13,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,42
2024-01-14,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,25
2024-01-15,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,24
2024-01-16,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,6
2024-01-17,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,13
2024-01-18,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,27
2024-01-19,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,9
2024-01-20,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,17
2024-01-21,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,53
2024-01-22,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,21
2024-01-23,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,49
2024-01-24,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,4
2024-01-25,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,52
2024-01-26,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,21
2024-01-27,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,16
2024-01-28,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,13
2024-01-29,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,58
2024-01-30,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,15
2024-01-31,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,26
2024-02-01,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,7
2024-02-02,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,11
2024-02-03,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,12
2024-02-04,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,2
2024-02-05,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,53
2024-02-06,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,23
2024-02-07,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,32
2024-02-08,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,1
2024-02-09,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,13
2024-02-10,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,12
2024-02-11,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,112
2024-02-12,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,9
2024-02-13,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,26
2024-02-14,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,19
2024-02-15,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,12
2024-02-16,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,2
2024-02-17,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,16
2024-02-18,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,49
2024-02-19,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,27
2024-02-20,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,11
2024-02-21,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,5
2024-02-22,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,8
2024-02-23,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,24
2024-02-24,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,27
2024-02-25,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,22
2024-02-26,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,37
2024-02-27,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,18
2024-02-28,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,15
2024-02-29,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,64
2024-03-01,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,51
2024-03-02,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,76
2024-03-03,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,14
2024-03-04,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,7
2024-03-05,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,31
2024-03-06,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,20
2024-03-07,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,31
2024-03-08,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,8
2024-03-09,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,7
2024-03-10,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,10
2024-03-11,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,15
2024-03-12,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,8
2024-03-13,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,14
2024-03-14,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,36
2024-03-15,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,5
2024-03-16,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,69
2024-03-17,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,7
2024-03-18,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,70
2024-03-19,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,14
2024-03-20,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,13
2024-03-21,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,113
2024-03-22,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,14
2024-03-23,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,20
2024-03-24,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,27
2024-03-25,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,27
2024-03-26,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,48
2024-03-27,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,23
2024-03-28,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,45
2024-03-29,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,37
2024-03-30,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,14
2024-03-31,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,30
2024-04-01,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,83
2024-04-02,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,59
2024-04-03,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,21
2024-04-04,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,32
2024-04-05,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,10
2024-04-06,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,60
2024-04-07,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,36
2024-04-08,AASWHO0001,Aashirvaad Whole Wheat Atta 5kg,staples,21
